"magpiecell","basincode"
"MLI.1292",27033
"MLI.1293",27033
"MLI.1294",27033
"MLI.1295",27033
"MLI.1296",26104
"MLI.1297",26104
"MLI.1298",25425
"MLI.1299",25425
"GHA.1300",26073
"TGO.1301",26160
"TGO.1302",26160
"TGO.1303",26073
"TGO.1304",26250
"TGO.1305",26250
"TGO.1306",26073
"TGO.1307",26073
"TGO.1308",26073
"TGO.1309",26073
"BFA.1310",26073
"BFA.1311",26073
"BFA.1312",27033
"BFA.1313",27033
"BFA.1314",27033
"NER.1315",27033
"NER.1316",27033
"NER.1317",27033
"MLI.1318",27033
"MLI.1319",27033
"MLI.1320",27033
"MLI.1321",27033
"MLI.1322",27033
"MLI.1323",27033
"MLI.1324",27033
"MLI.1325",27033
"MLI.1326",27033
"MLI.1327",27033
"MLI.1328",26104
"MLI.1329",26104
"MLI.1330",26104
"TGO.1331",26160
"TGO.1332",26160
"TGO.1333",26250
"TGO.1334",26250
"TGO.1335",26250
"TGO.1336",26250
"TGO.1337",26250
"TGO.1338",26073
"BEN.1339",26073
"BEN.1340",26073
"BEN.1341",26073
"BFA.1342",26073
"BFA.1343",27033
"BFA.1344",27033
"NER.1345",27033
"NER.1346",27033
"NER.1347",27033
"NER.1348",27033
"MLI.1349",27033
"MLI.1350",27033
"MLI.1351",27033
"MLI.1352",27033
"MLI.1353",27033
"MLI.1354",27033
"MLI.1355",27033
"MLI.1356",27033
