"cell","IPCC","IPCC_reduced"
"AUS.53607","tropical_dry","tropical_dry"
"AUS.53608","tropical_dry","tropical_dry"
"AUS.53609","tropical_dry","tropical_dry"
"AUS.53610","tropical_dry","tropical_dry"
"AUS.53611","tropical_dry","tropical_dry"
"AUS.53612","tropical_dry","tropical_dry"
"AUS.53613","tropical_dry","tropical_dry"
"AUS.53614","tropical_dry","tropical_dry"
"AUS.53615","tropical_dry","tropical_dry"
"AUS.53616","tropical_dry","tropical_dry"
"AUS.53617","tropical_dry","tropical_dry"
"AUS.53618","tropical_dry","tropical_dry"
"AUS.53619","tropical_dry","tropical_dry"
"AUS.53620","tropical_dry","tropical_dry"
"AUS.53621","tropical_dry","tropical_dry"
"AUS.53622","tropical_dry","tropical_dry"
"AUS.53623","tropical_dry","tropical_dry"
"AUS.53624","tropical_dry","tropical_dry"
"AUS.53625","tropical_dry","tropical_dry"
"AUS.53626","tropical_dry","tropical_dry"
"AUS.53627","tropical_dry","tropical_dry"
"AUS.53628","tropical_dry","tropical_dry"
"AUS.53629","tropical_dry","tropical_dry"
"AUS.53630","tropical_dry","tropical_dry"
"AUS.53631","tropical_dry","tropical_dry"
"AUS.53632","tropical_dry","tropical_dry"
"AUS.53633","tropical_dry","tropical_dry"
"AUS.53634","tropical_dry","tropical_dry"
"AUS.53635","tropical_dry","tropical_dry"
"AUS.53636","tropical_dry","tropical_dry"
"AUS.53637","tropical_dry","tropical_dry"
"AUS.53638","warm_temperate_dry","temperate_dry"
"AUS.53639","warm_temperate_dry","temperate_dry"
"AUS.53640","tropical_dry","tropical_dry"
"AUS.53641","tropical_dry","tropical_dry"
"AUS.53642","tropical_dry","tropical_dry"
"AUS.53643","tropical_dry","tropical_dry"
"AUS.53644","tropical_dry","tropical_dry"
"AUS.53645","tropical_dry","tropical_dry"
"AUS.53646","tropical_dry","tropical_dry"
"AUS.53647","tropical_dry","tropical_dry"
"AUS.53648","tropical_dry","tropical_dry"
"AUS.53649","tropical_dry","tropical_dry"
"AUS.53650","tropical_dry","tropical_dry"
"AUS.53651","tropical_dry","tropical_dry"
"AUS.53652","tropical_dry","tropical_dry"
"AUS.53653","tropical_dry","tropical_dry"
"AUS.53654","tropical_dry","tropical_dry"
"AUS.53655","tropical_dry","tropical_dry"
"AUS.53656","tropical_dry","tropical_dry"
"AUS.53657","tropical_dry","tropical_dry"
"AUS.53658","tropical_dry","tropical_dry"
"AUS.53659","tropical_dry","tropical_dry"
"AUS.53660","tropical_dry","tropical_dry"
"AUS.53661","tropical_dry","tropical_dry"
"AUS.53662","tropical_dry","tropical_dry"
"AUS.53663","tropical_dry","tropical_dry"
"AUS.53664","tropical_dry","tropical_dry"
"AUS.53665","tropical_dry","tropical_dry"
"AUS.53666","tropical_dry","tropical_dry"
"AUS.53667","tropical_dry","tropical_dry"
"AUS.53668","tropical_dry","tropical_dry"
"AUS.53669","tropical_dry","tropical_dry"
"AUS.53670","tropical_dry","tropical_dry"
