Category,CountryA3,Sector
Primary Inputs_Taxes on production D_29,MLI,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MLI,Mining and Quarrying
public services,MLI,Public Administration
research,MLI,"Education, Health and Other Services"
services,MLI,Construction
services,MLI,Hotels and Restraurants
services,MLI,Maintenance and Repair
services,MLI,Others
services,MLI,Post and Telecommunications
services,MLI,Private Households
services,MLI,Recycling
transport,MLI,Re-export & Re-import
transport,MLI,Retail Trade
transport,MLI,Transport
transport,MLI,Transport Equipment
transport,MLI,Wholesale Trade
water,MLI,"Electricity, Gas and Water"
wood processing,MLI,Wood and Paper
agriculture,MLT,"Products of agriculture, hunting and related services"
chemicals,MLT,"Chemicals, chemical products and man-made fibres"
fishery,MLT,Fish and other fishing products; services incidental of fishing
food processing,MLT,Food products and beverages
food processing,MLT,Tobacco products
forestry,MLT,"Products of forestry, logging and related services"
fuel,MLT,Coal and lignite; peat
fuel,MLT,"Coke, refined petroleum products and nuclear fuels"
fuel,MLT,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,MLT,Computer and related services
manufacturing,MLT,Electrical machinery and apparatus n_e_c_
manufacturing,MLT,"Fabricated metal products, except machinery and equipment"
manufacturing,MLT,Furniture; other manufactured goods n_e_c_
manufacturing,MLT,Machinery and equipment n_e_c_
manufacturing,MLT,"Medical, precision and optical instruments, watches and clocks"
manufacturing,MLT,"Motor vehicles, trailers and semi-trailers"
manufacturing,MLT,Office machinery and computers
manufacturing,MLT,Other non-metallic mineral products
manufacturing,MLT,Printed matter and recorded media
manufacturing,MLT,"Radio, television and communication equipment and apparatus"
manufacturing,MLT,Rubber and plastic products
manufacturing,MLT,Secondary raw materials
manufacturing,MLT,Textiles
Primary Inputs_Compensation of employees D_1,MLT,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MLT,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MLT,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MLT,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MLT,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MLT,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MLT,Basic metals
primary non-agricultural products,MLT,Metal ores
primary non-agricultural products,MLT,Other mining and quarrying products
primary non-agricultural products,MLT,Uranium and thorium ores
public services,MLT,Public administration and defence services; compulsory social security services
remaining,MLT,Leather and leather products
remaining,MLT,Wearing apparel; furs
research,MLT,Education services
research,MLT,Research and development services
services,MLT,Air transport services
services,MLT,Construction work
services,MLT,"Financial intermediation services, except insurance and pension funding services"
services,MLT,FISIM
services,MLT,Health and social work services
services,MLT,Hotel and restaurant services
services,MLT,"Insurance and pension funding services, except compulsory social security services"
services,MLT,Membership organisation services n_e_c_
services,MLT,Other business services
services,MLT,Other services
services,MLT,Post and telecommunication services
services,MLT,Private households with employed persons
services,MLT,Real estate services
services,MLT,"Recreational, cultural and sporting services"
services,MLT,Renting services of machinery and equipment without operator and of personal and household goods
services,MLT,Services auxiliary to financial intermediation
services,MLT,"Sewage and refuse disposal services, sanitation and similar services"
transport,MLT,Land transport; transport via pipeline services
transport,MLT,Other transport equipment
transport,MLT,Re-export
transport,MLT,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,MLT,Supporting and auxiliary transport services; travel agency services
transport,MLT,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,MLT,Water transport services
transport,MLT,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles"
water,MLT,"Collected and purified water, distribution services of water"
water,MLT,"Electrical energy, gas, steam and hot water"
wood processing,MLT,"Pulp, paper and paper products"
wood processing,MLT,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
agriculture,MMR,Agriculture
fishery,MMR,Fishing
food processing,MMR,Food & Beverages
fuel,MMR,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MMR,Electrical and Machinery
manufacturing,MMR,Finacial Intermediation and Business Activities
manufacturing,MMR,Metal Products
manufacturing,MMR,Other Manufacturing
manufacturing,MMR,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MMR,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MMR,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MMR,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MMR,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MMR,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MMR,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MMR,Mining and Quarrying
public services,MMR,Public Administration
research,MMR,"Education, Health and Other Services"
services,MMR,Construction
services,MMR,Hotels and Restraurants
services,MMR,Maintenance and Repair
services,MMR,Others
services,MMR,Post and Telecommunications
services,MMR,Private Households
services,MMR,Recycling
transport,MMR,Re-export & Re-import
transport,MMR,Retail Trade
transport,MMR,Transport
transport,MMR,Transport Equipment
transport,MMR,Wholesale Trade
water,MMR,"Electricity, Gas and Water"
wood processing,MMR,Wood and Paper
agriculture,MNE,Agriculture
fishery,MNE,Fishing
food processing,MNE,Food & Beverages
fuel,MNE,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MNE,Electrical and Machinery
manufacturing,MNE,Finacial Intermediation and Business Activities
manufacturing,MNE,Metal Products
manufacturing,MNE,Other Manufacturing
manufacturing,MNE,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MNE,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MNE,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MNE,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MNE,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MNE,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MNE,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MNE,Mining and Quarrying
public services,MNE,Public Administration
research,MNE,"Education, Health and Other Services"
services,MNE,Construction
services,MNE,Hotels and Restraurants
services,MNE,Maintenance and Repair
services,MNE,Others
services,MNE,Post and Telecommunications
services,MNE,Private Households
services,MNE,Recycling
transport,MNE,Re-export & Re-import
transport,MNE,Retail Trade
transport,MNE,Transport
transport,MNE,Transport Equipment
transport,MNE,Wholesale Trade
water,MNE,"Electricity, Gas and Water"
wood processing,MNE,Wood and Paper
agriculture,MNG,Agriculture
fishery,MNG,Fishing
food processing,MNG,Food & Beverages
fuel,MNG,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MNG,Electrical and Machinery
manufacturing,MNG,Finacial Intermediation and Business Activities
manufacturing,MNG,Metal Products
manufacturing,MNG,Other Manufacturing
manufacturing,MNG,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MNG,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MNG,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MNG,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MNG,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MNG,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MNG,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MNG,Mining and Quarrying
public services,MNG,Public Administration
research,MNG,"Education, Health and Other Services"
services,MNG,Construction
services,MNG,Hotels and Restraurants
services,MNG,Maintenance and Repair
services,MNG,Others
services,MNG,Post and Telecommunications
services,MNG,Private Households
services,MNG,Recycling
transport,MNG,Re-export & Re-import
transport,MNG,Retail Trade
transport,MNG,Transport
transport,MNG,Transport Equipment
transport,MNG,Wholesale Trade
water,MNG,"Electricity, Gas and Water"
wood processing,MNG,Wood and Paper
agriculture,MOZ,Agriculture
fishery,MOZ,Fishing
food processing,MOZ,Food & Beverages
fuel,MOZ,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MOZ,Electrical and Machinery
manufacturing,MOZ,Finacial Intermediation and Business Activities
manufacturing,MOZ,Metal Products
manufacturing,MOZ,Other Manufacturing
manufacturing,MOZ,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MOZ,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MOZ,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MOZ,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MOZ,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MOZ,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MOZ,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MOZ,Mining and Quarrying
public services,MOZ,Public Administration
research,MOZ,"Education, Health and Other Services"
services,MOZ,Construction
services,MOZ,Hotels and Restraurants
services,MOZ,Maintenance and Repair
services,MOZ,Others
services,MOZ,Post and Telecommunications
services,MOZ,Private Households
services,MOZ,Recycling
transport,MOZ,Re-export & Re-import
transport,MOZ,Retail Trade
transport,MOZ,Transport
transport,MOZ,Transport Equipment
transport,MOZ,Wholesale Trade
water,MOZ,"Electricity, Gas and Water"
wood processing,MOZ,Wood and Paper
agriculture,MRT,Agriculture
fishery,MRT,Fishing
food processing,MRT,Food & Beverages
fuel,MRT,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,MRT,Electrical and Machinery
manufacturing,MRT,Finacial Intermediation and Business Activities
manufacturing,MRT,Metal Products
manufacturing,MRT,Other Manufacturing
manufacturing,MRT,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,MRT,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,MRT,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,MRT,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,MRT,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,MRT,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,MRT,Primary Inputs_Taxes on production D_29
primary non-agricultural products,MRT,Mining and Quarrying
public services,MRT,Public Administration
research,MRT,"Education, Health and Other Services"
services,MRT,Construction
